owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type
a,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljava/lang/String;CI)V,private
a,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljava/lang/String;CZ)V,private
a,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(Ljava/lang/String;CZI)V,private
a,c(String arg0),func_175745_c(String arg0),,,,,method,c(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,b(),func_175746_b(),,,,,method,b(),()I,int
a,c(),func_96301_b(),isFormat(),,,,method,c(),()Z,boolean
a,d(),func_96302_c(),,,,,method,d(),()Z,boolean
a,e(),func_96297_d(),,,,,method,e(),()Ljava/lang/String;,String
a,a(String arg0),func_110646_a(String arg0),,,,,method,a(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,b(String arg0),func_96300_b(String arg0),,,,,method,b(String arg0),(Ljava/lang/String;)La;,EnumChatFormat
a,a(int arg0),func_175744_a(int arg0),,,,,method,a(int arg0),(I)La;,EnumChatFormat
a,"a(boolean arg0, boolean arg1)","func_96296_a(boolean arg0, boolean arg1)",,,,,method,"a(boolean arg0, boolean arg1)",(ZZ)Ljava/util/Collection;,Collection<String>
aa,<init>,,,,,,constructor,(),()V,public
aa,c(),func_71517_b(),getCommand(),,,,method,c(),()Ljava/lang/String;,String
aa,a(),func_82362_a(),,,,,method,a(),()I,int
aa,b(n arg0),func_71518_a(ICommandSender arg0),getUsage(ICommandListener arg0),,,,method,b(n arg0),(Ln;)Ljava/lang/String;,String
aa,"a(MinecraftServer arg0, n arg1, String[] arg2)","func_184881_a(MinecraftServer arg0, ICommandSender arg1, String[] arg2)","execute(MinecraftServer arg0, ICommandListener arg1, String[] arg2)",,,,method,"a(MinecraftServer arg0, n arg1, String[] arg2)",(Lnet/minecraft/server/MinecraftServer;Ln;[Ljava/lang/String;)V,void
aa,"a(MinecraftServer arg0, n arg1, String[] arg2, co arg3)","func_184883_a(MinecraftServer arg0, ICommandSender arg1, String[] arg2, BlockPos arg3)","tabComplete(MinecraftServer arg0, ICommandListener arg1, String[] arg2, BlockPosition arg3)",,,,method,"a(MinecraftServer arg0, n arg1, String[] arg2, co arg3)",(Lnet/minecraft/server/MinecraftServer;Ln;[Ljava/lang/String;Lco;)Ljava/util/List;,List<String>
aa,"b(String[] arg0, int arg1)","func_82358_a(String[] arg0, int arg1)","isListStart(String[] arg0, int arg1)",,,,method,"b(String[] arg0, int arg1)",([Ljava/lang/String;I)Z,boolean
aaa$a,<init>,,,,,,constructor,(arg0),(Laaa;)V,public
aaa$a,a(),func_75250_a(),,,,,method,a(),()Z,boolean
aaa$b,<init>,,,,,,constructor,(arg0),(Laaa;)V,public
aaa$b,"a(td arg0, sv arg1)","func_179446_a(EntityCreature arg0, EntityLivingBase arg1)",,,,,method,"a(td arg0, sv arg1)",(Ltd;Lsv;)V,void
aaa,<init>,,,,,,constructor,(arg0),(Lajq;)V,public
aaa,a(sv arg0),func_70604_c(EntityLivingBase arg0),,,,,method,a(sv arg0),(Lsv;)V,void
aaa,dk(),func_175456_n(),,,,,method,dk(),()V,void
aaa,bE(),func_110147_ax(),initAttributes(),,,,method,bE(),()V,void
aaa,M(),func_70619_bc(),,,,,method,M(),()V,void
aaa,cM(),func_70601_bi(),,,,,method,cM(),()Z,boolean
aaa,cN(),func_70058_J(),canSpawn(),,,,method,cN(),()Z,boolean
aaa,b(ph arg0),func_189781_b(DataFixer arg0),,,,,method,b(ph arg0),(Lph;)V,void
aaa,b(du arg0),func_70014_b(NBTTagCompound arg0),,,,,method,b(du arg0),(Ldu;)V,void
aaa,a(du arg0),func_70037_a(NBTTagCompound arg0),,,,,method,a(du arg0),(Ldu;)V,void
aaa,"a(rx arg0, float arg1)","func_70097_a(DamageSource arg0, float arg1)","damageEntity(DamageSource arg0, float arg1)",,,,method,"a(rx arg0, float arg1)",(Lrx;F)Z,boolean
aaa,a(sm arg0),func_70835_c(Entity arg0),,,,,method,a(sm arg0),(Lsm;)V,void
aaa,dl(),func_175457_ck(),,,,,method,dl(),()Z,boolean
aaa,G(),func_184639_G(),,,,,method,G(),()Lnm;,SoundEffect
aaa,bW(),func_184601_bQ(),,,,,method,bW(),()Lnm;,SoundEffect
aaa,bX(),func_184615_bR(),,,,,method,bX(),()Lnm;,SoundEffect
aaa,J(),func_184647_J(),,,,,method,J(),()Lkq;,MinecraftKey
aaa,"a(aax arg0, rh arg1)","func_184645_a(EntityPlayer arg0, EnumHand arg1)",,,,,method,"a(aax arg0, rh arg1)",(Laax;Lrh;)Z,boolean
aaa,a(rg arg0),func_180481_a(DifficultyInstance arg0),,,,,method,a(rg arg0),(Lrg;)V,void
aaa,dj(),func_190732_dj(),,,,,method,dj(),()Lafi;,ItemStack
aab,"a(sv arg0, float arg1)","func_82196_d(EntityLivingBase arg0, float arg1)",,,,,method,"a(sv arg0, float arg1)",(Lsv;F)V,void
aac,a(tm arg0),func_111257_a(AbstractAttributeMap arg0),,,,,method,a(tm arg0),(Ltm;)Lea;,NBTTagList
aac,a(tj arg0),func_111261_a(IAttributeInstance arg0),,,,,method,a(tj arg0),(Ltj;)Ldu;,NBTTagCompound
aac,a(tk arg0),func_111262_a(AttributeModifier arg0),,,,,method,a(tk arg0),(Ltk;)Ldu;,NBTTagCompound
aac,"a(tm arg0, ea arg1)","func_151475_a(AbstractAttributeMap arg0, NBTTagList arg1)",,,,,method,"a(tm arg0, ea arg1)",(Ltm;Lea;)V,void
aac,"a(tj arg0, du arg1)","func_111258_a(IAttributeInstance arg0, NBTTagCompound arg1)",,,,,method,"a(tj arg0, du arg1)",(Ltj;Ldu;)V,void
aac,a(du arg0),func_111259_a(NBTTagCompound arg0),,,,,method,a(du arg0),(Ldu;)Ltk;,AttributeModifier
aad$a,<init>,,,,,,constructor,(arg0),(Laad;)V,public
aad$a,a(),func_75250_a(),,,,,method,a(),()Z,boolean
aad$a,c(),func_75249_e(),,,,,method,c(),()V,void
aad$a,d(),func_75251_c(),,,,,method,d(),()V,void
aad$a,e(),func_75246_d(),,,,,method,e(),()V,void
aad$b,<init>,,,,,,constructor,"(arg0, arg1)",(Laad;Lsv;)V,public
aad$b,a(),func_75664_a(),,,,,method,a(),()V,void
aad$c$1,<init>,,,,,,constructor,(),()V,
aad$c$1,a(sv arg0),apply(EntityLivingBase arg0),,,,,method,a(sv arg0),(Lsv;)Z,boolean
aad$c,<init>,,,,,,constructor,(arg0),(Laad;)V,public
aad$c,a(),func_75250_a(),,,,,method,a(),()Z,boolean
