混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
a,net/minecraft/util/text/TextFormatting,net/minecraft/server/v1_12_R1/EnumChatFormat,,,
aa$a,net/minecraft/advancements/critereon/CuredZombieVillagerTrigger$Listeners,net/minecraft/server/v1_12_R1/CriterionTriggerCuredZombieVillager$a,,,
aa$b,net/minecraft/advancements/critereon/CuredZombieVillagerTrigger$Instance,net/minecraft/server/v1_12_R1/CriterionTriggerCuredZombieVillager$b,,,
aa,net/minecraft/advancements/critereon/CuredZombieVillagerTrigger,net/minecraft/server/v1_12_R1/CriterionTriggerCuredZombieVillager,,,
aaa$1,net/minecraft/entity/passive/EntityParrot$1,net/minecraft/server/v1_12_R1/EntityParrot$1,,,
aaa,net/minecraft/entity/passive/EntityParrot,net/minecraft/server/v1_12_R1/EntityParrot,,,
aab,net/minecraft/entity/passive/EntityPig,net/minecraft/server/v1_12_R1/EntityPig,,,
aac$a,net/minecraft/entity/monster/EntityPolarBear$AIAttackPlayer,net/minecraft/server/v1_12_R1/EntityPolarBear$a,,,
aac$b,net/minecraft/entity/monster/EntityPolarBear$GroupData,net/minecraft/server/v1_12_R1/EntityPolarBear$b,,,
aac$c,net/minecraft/entity/monster/EntityPolarBear$AIHurtByTarget,net/minecraft/server/v1_12_R1/EntityPolarBear$c,,,
aac$d,net/minecraft/entity/monster/EntityPolarBear$AIMeleeAttack,net/minecraft/server/v1_12_R1/EntityPolarBear$d,,,
aac$e,net/minecraft/entity/monster/EntityPolarBear$AIPanic,net/minecraft/server/v1_12_R1/EntityPolarBear$e,,,
aac,net/minecraft/entity/monster/EntityPolarBear,net/minecraft/server/v1_12_R1/EntityPolarBear,,,
aad$a,net/minecraft/entity/passive/EntityRabbit$AIEvilAttack,net/minecraft/server/v1_12_R1/EntityRabbit$PathfinderGoalKillerRabbitMeleeAttack,,,
aad$b,net/minecraft/entity/passive/EntityRabbit$AIAvoidEntity,net/minecraft/server/v1_12_R1/EntityRabbit$PathfinderGoalRabbitAvoidTarget,,,
aad$c,net/minecraft/entity/passive/EntityRabbit$RabbitTypeData,net/minecraft/server/v1_12_R1/EntityRabbit$GroupDataRabbit,,,
aad$d,net/minecraft/entity/passive/EntityRabbit$RabbitJumpHelper,net/minecraft/server/v1_12_R1/EntityRabbit$ControllerJumpRabbit,,,
aad$e,net/minecraft/entity/passive/EntityRabbit$RabbitMoveHelper,net/minecraft/server/v1_12_R1/EntityRabbit$ControllerMoveRabbit,,,
aad$f,net/minecraft/entity/passive/EntityRabbit$AIPanic,net/minecraft/server/v1_12_R1/EntityRabbit$PathfinderGoalRabbitPanic,,,
aad$g,net/minecraft/entity/passive/EntityRabbit$AIRaidFarm,net/minecraft/server/v1_12_R1/EntityRabbit$PathfinderGoalEatCarrots,,,
aad,net/minecraft/entity/passive/EntityRabbit,net/minecraft/server/v1_12_R1/EntityRabbit,,,
aae$1,net/minecraft/entity/passive/EntitySheep$1,net/minecraft/server/v1_12_R1/EntitySheep$1,,,
aae,net/minecraft/entity/passive/EntitySheep,net/minecraft/server/v1_12_R1/EntitySheep,,,
aaf,net/minecraft/entity/passive/EntityShoulderRiding,net/minecraft/server/v1_12_R1/EntityPerchable,,,
aag,net/minecraft/entity/monster/EntitySnowman,net/minecraft/server/v1_12_R1/EntitySnowman,,,
aah$a,net/minecraft/entity/passive/EntitySquid$AIMoveRandom,net/minecraft/server/v1_12_R1/EntitySquid$PathfinderGoalSquid,,,
aah,net/minecraft/entity/passive/EntitySquid,net/minecraft/server/v1_12_R1/EntitySquid,,,
aai$1,net/minecraft/entity/monster/EntityIronGolem$1,net/minecraft/server/v1_12_R1/EntityIronGolem$1,,,
aai,net/minecraft/entity/monster/EntityIronGolem,net/minecraft/server/v1_12_R1/EntityIronGolem,,,
aaj,net/minecraft/entity/passive/EntityWaterMob,net/minecraft/server/v1_12_R1/EntityWaterAnimal,,,
aak$1,net/minecraft/entity/passive/EntityWolf$1,net/minecraft/server/v1_12_R1/EntityWolf$1,,,
aak$a,net/minecraft/entity/passive/EntityWolf$AIAvoidEntity,net/minecraft/server/v1_12_R1/EntityWolf$a,,,
aak,net/minecraft/entity/passive/EntityWolf,net/minecraft/server/v1_12_R1/EntityWolf,,,
aal,net/minecraft/entity/passive/AbstractChestHorse,net/minecraft/server/v1_12_R1/EntityHorseChestedAbstract,,,
aam$1,net/minecraft/entity/passive/AbstractHorse$1,net/minecraft/server/v1_12_R1/EntityHorseAbstract$1,,,
aam,net/minecraft/entity/passive/AbstractHorse,net/minecraft/server/v1_12_R1/EntityHorseAbstract,,,
aan,net/minecraft/entity/passive/EntityDonkey,net/minecraft/server/v1_12_R1/EntityHorseDonkey,,,
