owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
u,a,f_131799_,,logger,logger,field_1115,field,private final org.slf4j.Logger
ow,c,f_177742_,,LOGGER,LOGGER,field_27813,field,private static final org.slf4j.Logger
ow,a,f_177741_,,DEFAULT_TEST_STRUCTURES_DIR,TEST_STRUCTURES_DIRECTORY_NAME,field_33173,field,public static final String
ow,b,f_127833_,,testStructuresDir,testStructuresDirectoryName,field_20579,field,public static String
ow,d,f_177743_,,HOW_MANY_CHUNKS_TO_LOAD_IN_EACH_DIRECTION_OF_STRUCTURE,field_33174,field_33174,field,private static final int
ov,c,f_177688_,,originalTestInfo,test,field_27810,field,private final GameTestInfo
ov,d,f_177689_,,testTicker,testManager,field_27811,field,private final GameTestTicker
ov,e,f_177690_,,structurePos,pos,field_27812,field,private final BlockPos
ov,a,f_177686_,,attempts,attempt,field_27808,field,int
ov,b,f_177687_,,successes,successes,field_27809,field,int
ol,a,f_177495_,,TEST_FUNCTIONS,TEST_FUNCTIONS,field_20570,field,private static final Collection<TestFunction>
ol,b,f_177496_,,TEST_CLASS_NAMES,TEST_CLASSES,field_20571,field,private static final Set<String>
ol,c,f_177497_,,BEFORE_BATCH_FUNCTIONS,BEFORE_BATCH_CONSUMERS,field_20572,field,"private static final Map<String, Consumer<ServerLevel>>"
ol,d,f_177498_,,AFTER_BATCH_FUNCTIONS,AFTER_BATCH_CONSUMERS,field_27806,field,"private static final Map<String, Consumer<ServerLevel>>"
ol,e,f_177499_,,LAST_FAILED_TESTS,FAILED_TEST_FUNCTIONS,field_25302,field,private static final Collection<TestFunction>
oi,a,f_127595_,,testInfo,test,field_20558,field,private final GameTestInfo
oi,b,f_177099_,,finalCheckAdded,hasFinalClause,field_33146,field,private boolean
oe,a,f_177056_,,DEFAULT_BATCH_NAME,DEFAULT_BATCH,field_33145,field,public static final String
oe,b,f_127539_,,name,id,field_20543,field,private final String
oe,c,f_127540_,,testFunctions,testFunctions,field_20544,field,private final Collection<TestFunction>
oe,d,f_127541_,,beforeBatchFunction,beforeBatchConsumer,field_20545,field,private final Consumer<ServerLevel>
oe,e,f_177057_,,afterBatchFunction,afterBatchConsumer,field_27801,field,private final Consumer<ServerLevel>
or,a,f_177649_,,DELEGATE,completionListener,field_27807,field,private static TestReporter
of,a,f_127550_,,LOGGER,LOGGER,field_20546,field,private static final org.slf4j.Logger
of,b,f_127551_,,firstTestNorthWestCorner,pos,field_20548,field,private final BlockPos
of,c,f_127552_,,level,world,field_20549,field,final ServerLevel
of,d,f_127553_,,testTicker,testManager,field_20550,field,private final GameTestTicker
of,e,f_127554_,,testsPerRow,sizeZ,field_20556,field,private final int
of,f,f_127555_,,allTestInfos,tests,field_20551,field,private final List<GameTestInfo>
of,g,f_127557_,,batches,batches,field_20547,field,"private final List<com.mojang.datafixers.util.Pair<GameTestBatch, Collection<GameTestInfo>>>"
of,h,f_127560_,,nextTestNorthWestCorner,reusablePos,field_20555,field,private final BlockPos$MutableBlockPos
ot,a,f_127793_,,LOGGER,LOGGER,field_20576,field,private static final org.slf4j.Logger
pa,a,f_128067_,,batchName,batchId,field_20583,field,private final String
pa,b,f_128068_,,testName,templatePath,field_20584,field,private final String
pa,c,f_128069_,,structureName,templateName,field_20585,field,private final String
pa,d,f_128070_,,required,required,field_20586,field,private final boolean
pa,e,f_177798_,,maxAttempts,maxAttempts,field_27814,field,private final int
pa,f,f_177799_,,requiredSuccesses,requiredSuccesses,field_27815,field,private final int
pa,g,f_128071_,,function,starter,field_20587,field,private final Consumer<GameTestHelper>
pa,h,f_128072_,,maxTicks,tickLimit,field_20588,field,private final int
pa,i,f_128073_,,setupTicks,duration,field_21460,field,private final long
pa,j,f_128074_,,rotation,rotation,field_25306,field,private final Rotation
oz$a,a,f_128058_,,level,world,field_20581,field,private final ServerLevel
oz$a,b,f_128059_,,tracker,tests,field_20582,field,private final MultipleTestTracker
ox,a,f_177778_,,LOGGER,LOGGER,field_33176,field,private static final org.slf4j.Logger
ox,b,f_177779_,,ESCAPER,ESCAPER,field_33177,field,private static final com.google.common.escape.Escaper
pb,a,f_128085_,,EXAMPLES,EXAMPLES,field_20589,field,private static final Collection<String>
ou,a,f_177677_,,NOT_STARTED_TEST_CHAR,NOT_STARTED,field_33168,field,private static final char
ou,b,f_177678_,,ONGOING_TEST_CHAR,RUNNING,field_33169,field,private static final char
ou,c,f_177679_,,SUCCESSFUL_TEST_CHAR,PASS,field_33170,field,private static final char
ou,d,f_177680_,,FAILED_OPTIONAL_TEST_CHAR,OPTIONAL_FAIL,field_33171,field,private static final char
ou,e,f_177681_,,FAILED_REQUIRED_TEST_CHAR,REQUIRED_FAIL,field_33172,field,private static final char
ou,f,f_127798_,,tests,tests,field_20577,field,private final Collection<GameTestInfo>
ou,g,f_127799_,,listeners,listeners,field_25303,field,private final Collection<GameTestListener>
op,a,f_177648_,,SINGLETON,INSTANCE,field_20574,field,public static final GameTestTicker
op,b,f_127784_,,testInfos,tests,field_20575,field,private final Collection<GameTestInfo>
oz,a,f_177786_,,DEFAULT_CLEAR_RADIUS,field_33178,field_33178,field,private static final int
oz,b,f_177787_,,MAX_CLEAR_RADIUS,field_33179,field_33179,field,private static final int
oz,c,f_177788_,,STRUCTURE_BLOCK_NEARBY_SEARCH_RADIUS,field_33180,field_33180,field,private static final int
oz,d,f_177789_,,STRUCTURE_BLOCK_FULL_SEARCH_RADIUS,field_33181,field_33181,field,private static final int
oz,e,f_177790_,,TEST_POS_Z_OFFSET_FROM_PLAYER,field_33182,field_33182,field,private static final int
oz,f,f_177791_,,SHOW_POS_DURATION_MS,field_33183,field_33183,field,private static final int
oz,g,f_177792_,,DEFAULT_X_SIZE,field_33184,field_33184,field,private static final int
oz,h,f_177793_,,DEFAULT_Y_SIZE,field_33185,field_33185,field,private static final int
oz,i,f_177794_,,DEFAULT_Z_SIZE,field_33186,field_33186,field,private static final int
od,a,f_127493_,,absolutePos,pos,field_20541,field,private final BlockPos
od,b,f_127494_,,relativePos,relativePos,field_20542,field,private final BlockPos
od,c,f_127495_,,tick,tick,field_21449,field,private final long
om,e,f_177525_,,MAX_TESTS_PER_BATCH,MAX_BATCH_SIZE,field_33152,field,private static final int
om,a,f_177521_,,PADDING_AROUND_EACH_STRUCTURE,field_33148,field_33148,field,public static final int
om,b,f_177522_,,SPACE_BETWEEN_COLUMNS,field_33149,field_33149,field,public static final int
om,c,f_177523_,,SPACE_BETWEEN_ROWS,field_33150,field_33150,field,public static final int
om,d,f_177524_,,DEFAULT_TESTS_PER_ROW,field_33151,field_33151,field,public static final int
oo,n,f_177585_,,LOGGER,LOGGER,field_33156,field,private static final org.slf4j.Logger
oo,o,f_177586_,,PROGRESS_REPORT_INTERVAL,RESULT_STRING_LOG_INTERVAL,field_33157,field,private static final int
oo,p,f_236789_,,NO_SERVICES,field_39441,field_39441,field,private static final Services
oo,q,f_177587_,,testBatches,batches,field_33158,field,private final List<GameTestBatch>
oo,r,f_177588_,,spawnPos,pos,field_33159,field,private final BlockPos
oo,s,f_177589_,,TEST_GAME_RULES,GAME_RULES,field_33160,field,private static final GameRules
oo,t,f_177590_,,TEST_SETTINGS,TEST_LEVEL,field_33161,field,private static final LevelSettings
oo,u,f_177591_,,testTracker,testSet,field_33162,field,private MultipleTestTracker
os,a,f_177659_,,document,document,field_33164,field,private final Document
os,b,f_177660_,,testSuite,testSuiteElement,field_33165,field,private final Element
os,c,f_177661_,,stopwatch,stopwatch,field_33166,field,private final com.google.common.base.Stopwatch
os,d,f_177662_,,destination,file,field_33167,field,private final File
on$a,b,f_177578_,,NOT_TRIGGERED,UNTRIGGERED_TICK,field_33154,field,private static final long
on$a,c,f_177579_,,triggerTime,triggeredTick,field_33155,field,private long
on,a,f_127774_,,parent,test,field_21457,field,final GameTestInfo
on,b,f_127775_,,events,tasks,field_21458,field,private final List<GameTestEvent>
on,c,f_127776_,,lastTick,tick,field_21459,field,private long
og,a,f_127593_,,expectedDelay,duration,field_21450,field,public final Long
og,b,f_127594_,,assertion,task,field_21451,field,public final Runnable
oy,a,f_127914_,,EXAMPLES,EXAMPLES,field_20580,field,private static final Collection<String>
oj,a,f_127598_,,testFunction,testFunction,field_20559,field,private final TestFunction
oj,b,f_127599_,,structureBlockPos,pos,field_20560,field,private BlockPos
oj,c,f_127600_,,level,world,field_20561,field,private final ServerLevel
oj,d,f_127601_,,listeners,listeners,field_20562,field,private final Collection<GameTestListener>
oj,e,f_127602_,,timeoutTicks,ticksLeft,field_20563,field,private final int
oj,f,f_127603_,,sequences,timedTaskRunners,field_21452,field,private final Collection<GameTestSequence>
oj,g,f_127604_,,runAtTickTimeMap,ticksByRunnables,field_21453,field,private final it.unimi.dsi.fastutil.objects.Object2LongMap<Runnable>
oj,h,f_127605_,,startTick,expectedStopTime,field_21454,field,private long
oj,i,f_127606_,,tickCount,tick,field_21455,field,private long
oj,j,f_127607_,,started,started,field_20565,field,private boolean
oj,k,f_127608_,,timer,stopwatch,field_21456,field,private final com.google.common.base.Stopwatch
oj,l,f_127609_,,done,completed,field_20567,field,private boolean
oj,m,f_127610_,,rotation,rotation,field_25301,field,private final Rotation
oj,n,f_127611_,,error,throwable,field_20569,field,private Throwable
oj,o,f_177469_,,structureBlockEntity,structureBlockEntity,field_27805,field,private StructureBlockEntity
x,a,f_133725_,,COPY_COUNTER_PATTERN,FILE_NAME_WITH_COUNT,field_18956,field,private static final Pattern
x,b,f_179920_,,MAX_FILE_NAME,MAX_NAME_LENGTH,field_33384,field,private static final int
x,c,f_133726_,,RESERVED_WINDOWS_FILENAMES,RESERVED_WINDOWS_NAMES,field_18955,field,private static final Pattern
ad$a,a,INSTANCE,,INSTANCE,INSTANCE,field_1130,enum,
ad$3,b,f_214693_,,cache,cache,field_29657,field,"private final Map<com.mojang.datafixers.util.Pair<T, U>, R>"
t,a,f_131075_,,logger,logger,field_1113,field,private final org.slf4j.Logger
ad,e,f_137446_,,LOGGER,LOGGER,field_1129,field,static final org.slf4j.Logger
ad,f,f_183935_,,DEFAULT_MAX_THREADS,MAX_PARALLELISM,field_34891,field,private static final int
ad,g,f_183936_,,MAX_THREADS_SYSTEM_PROPERTY,MAX_BG_THREADS_PROPERTY,field_34892,field,private static final String
ad,h,f_137442_,,WORKER_COUNT,NEXT_WORKER_ID,field_18034,field,private static final AtomicInteger
ad,i,f_137443_,,BOOTSTRAP_EXECUTOR,BOOTSTRAP_EXECUTOR,field_24622,field,private static final ExecutorService
ad,j,f_137444_,,BACKGROUND_EXECUTOR,MAIN_WORKER_EXECUTOR,field_18035,field,private static final ExecutorService
ad,k,f_137445_,,IO_POOL,IO_WORKER_EXECUTOR,field_24477,field,private static final ExecutorService
ad,a,f_137440_,,timeSource,nanoTimeSupplier,field_1128,field,public static LongSupplier
ad,b,f_211544_,,TICKER,TICKER,field_37250,field,public static final com.google.common.base.Ticker
ad,c,f_137441_,,NIL_UUID,NIL_UUID,field_25140,field,public static final UUID
ad,d,f_143778_,,ZIP_FILE_SYSTEM_PROVIDER,JAR_FILE_SYSTEM_PROVIDER,field_33859,field,public static final FileSystemProvider
ad,l,f_183937_,,thePauser,missingBreakpointHandler,field_34893,field,private static Consumer<String>
n$a,a,f_124348_,,minCorner,lowerLeft,field_25936,field,public final BlockPos
n$a,b,f_124349_,,axis1Size,width,field_25937,field,public final int
n$a,c,f_124350_,,axis2Size,height,field_25938,field,public final int
am$a,a,f_13678_,,trigger,conditions,field_1223,field,private final T
am$a,b,f_13679_,,advancement,advancement,field_1222,field,private final Advancement
am$a,c,f_13680_,,criterion,id,field_1221,field,private final String
ao,a,f_14958_,,title,title,field_1240,field,private final Component
ao,b,f_14959_,,description,description,field_1242,field,private final Component
ao,c,f_14960_,,icon,icon,field_1241,field,private final ItemStack
ao,d,f_14961_,,background,background,field_1243,field,private final ResourceLocation
ao,e,f_14962_,,frame,frame,field_1237,field,private final FrameType
ao,f,f_14963_,,showToast,showToast,field_1239,field,private final boolean
ao,g,f_14964_,,announceChat,announceToChat,field_1238,field,private final boolean
ao,h,f_14965_,,hidden,hidden,field_1236,field,private final boolean
ao,i,f_14966_,,x,x,field_1245,field,private float
ao,j,f_14967_,,y,y,field_1244,field,private float
ai,a,f_9978_,,EMPTY,NONE,field_1167,field,public static final AdvancementRewards
ai,b,f_9979_,,experience,experience,field_1165,field,private final int
ai,c,f_9980_,,loot,loot,field_1164,field,private final ResourceLocation[]
ai,d,f_9981_,,recipes,recipes,field_1166,field,private final ResourceLocation[]
ai,e,f_9982_,,function,function,field_1163,field,private final CommandFunction$CacheableFunction
al,a,f_12907_,,DATE_FORMAT,FORMAT,field_1220,field,private static final SimpleDateFormat
al,b,f_12908_,,obtained,obtainedDate,field_1219,field,private Date
ar,a,f_16554_,,advancement,advancement,field_1263,field,private final Advancement
ar,b,f_16555_,,parent,parent,field_1258,field,private final TreeNodePosition
ar,c,f_16556_,,previousSibling,previousSibling,field_1260,field,private final TreeNodePosition
ar,d,f_16557_,,childIndex,childrenSize,field_1261,field,private final int
ar,e,f_16558_,,children,children,field_1267,field,private final List<TreeNodePosition>
ar,f,f_16559_,,ancestor,optionalLast,field_1262,field,private TreeNodePosition
ar,g,f_16560_,,thread,substituteChild,field_1264,field,private TreeNodePosition
ar,h,f_16561_,,x,depth,field_1259,field,private int
ar,i,f_16562_,,y,row,field_1269,field,private float
ar,j,f_16563_,,mod,relativeRowInSiblings,field_1268,field,private float
ar,k,f_16564_,,change,field_1266,field_1266,field,private float
ar,l,f_16565_,,shift,field_1265,field_1265,field,private float
af,a,f_138298_,,parent,parent,field_1143,field,private final Advancement
af,b,f_138299_,,display,display,field_1146,field,private final DisplayInfo
af,c,f_138300_,,rewards,rewards,field_1145,field,private final AdvancementRewards
af,d,f_138301_,,id,id,field_1144,field,private final ResourceLocation
af,e,f_138302_,,criteria,criteria,field_1139,field,"private final Map<String, Criterion>"
af,f,f_138303_,,requirements,requirements,field_1142,field,private final String[][]
af,g,f_138304_,,children,children,field_1140,field,private final Set<Advancement>
af,h,f_138305_,,chatComponent,text,field_1141,field,private final Component
ak,a,f_11412_,,trigger,conditions,field_1214,field,private final CriterionTriggerInstance
ap,a,TASK,,TASK,TASK,field_1254,enum,
ap,b,CHALLENGE,,CHALLENGE,CHALLENGE,field_1250,enum,
ap,c,GOAL,,GOAL,GOAL,field_1249,enum,
ap,d,f_15536_,,name,id,field_1251,field,private final String
ap,e,f_15537_,,texture,textureV,field_1252,field,private final int
ap,f,f_15538_,,chatColor,titleFormat,field_1255,field,private final ChatFormatting
ap,g,f_15539_,,displayName,toastText,field_26386,field,private final Component
ai$a,a,f_9999_,,experience,experience,field_1169,field,private int
ai$a,b,f_10000_,,loot,loot,field_1171,field,private final List<ResourceLocation>
ai$a,c,f_10001_,,recipes,recipes,field_1168,field,private final List<ResourceLocation>
ai$a,d,f_10002_,,function,function,field_1170,field,private ResourceLocation
