混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
vw$1,net/minecraft/src/C_242986_$C_242981_,net/minecraft/network/PacketSendListener$1,net/minecraft/network/PacketSendListener$1,net/minecraft/network/PacketCallbacks$1,net/minecraft/class_7648$1
vx,net/minecraft/src/C_313600_,net/minecraft/network/ProtocolInfo,net/minecraft/network/ProtocolInfo,net/minecraft/network/NetworkState,net/minecraft/class_9127
vk,net/minecraft/src/C_336456_,net/minecraft/network/DisconnectionDetails,net/minecraft/network/DisconnectionDetails,net/minecraft/network/DisconnectionInfo,net/minecraft/class_9812
vj,net/minecraft/src/C_4965_,net/minecraft/network/EnumProtocol,net/minecraft/network/ConnectionProtocol,net/minecraft/network/NetworkPhase,net/minecraft/class_2539
vh,net/minecraft/src/C_4960_,net/minecraft/network/PacketCompressor,net/minecraft/network/CompressionEncoder,net/minecraft/network/handler/PacketDeflater,net/minecraft/class_2534
vo,net/minecraft/src/C_370354_,net/minecraft/network/LocalFrameDecoder,net/minecraft/network/LocalFrameDecoder,net/minecraft/network/handler/LocalBufUnpacker,net/minecraft/class_10551
wa,net/minecraft/src/C_313350_,net/minecraft/network/RegistryFriendlyByteBuf,net/minecraft/network/RegistryFriendlyByteBuf,net/minecraft/network/RegistryByteBuf,net/minecraft/class_9129
wf,net/minecraft/src/C_290224_,net/minecraft/network/Utf8String,net/minecraft/network/Utf8String,net/minecraft/network/encoding/StringEncoding,net/minecraft/class_8702
vx$a,net/minecraft/src/C_313600_$C_313580_,net/minecraft/network/ProtocolInfo$a,net/minecraft/network/ProtocolInfo$Unbound,net/minecraft/network/NetworkState$Factory,net/minecraft/class_9127$class_9128
wg,net/minecraft/src/C_290082_,net/minecraft/network/VarInt,net/minecraft/network/VarInt,net/minecraft/network/encoding/VarInts,net/minecraft/class_8703
wh,net/minecraft/src/C_290076_,net/minecraft/network/VarLong,net/minecraft/network/VarLong,net/minecraft/network/encoding/VarLongs,net/minecraft/class_8704
wb,net/minecraft/src/C_290289_,net/minecraft/network/ServerboundPacketListener,net/minecraft/network/ServerboundPacketListener,net/minecraft/network/listener/ServerPacketListener,net/minecraft/class_8701
vt,net/minecraft/src/C_4984_,net/minecraft/network/PacketDecoder,net/minecraft/network/PacketDecoder,net/minecraft/network/handler/DecoderHandler,net/minecraft/class_2543
