owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
vk,a,f_337726_,,reason,reason,comp_2853,field,private final Component
vk,b,f_336753_,,report,report,comp_2854,field,private final Optional<Path>
vk,c,f_337602_,,bugReportLink,bugReportLink,comp_2855,field,private final Optional<URI>
vj,a,HANDSHAKING,,HANDSHAKING,HANDSHAKING,field_20590,enum,
vj,b,PLAY,,PLAY,PLAY,field_20591,enum,
vj,c,STATUS,,STATUS,STATUS,field_20592,enum,
vj,d,LOGIN,,LOGIN,LOGIN,field_20593,enum,
vj,e,CONFIGURATION,,CONFIGURATION,CONFIGURATION,field_45671,enum,
vj,f,f_129573_,,id,id,field_20594,field,private final String
vh,a,f_129444_,,encodeBuf,deflateBuffer,field_11637,field,private final byte[]
vh,b,f_129445_,,deflater,deflater,field_11638,field,private final Deflater
vh,c,f_129446_,,threshold,compressionThreshold,field_11636,field,private int
wa,d,f_316842_,,registryAccess,registryManager,field_48538,field,private final RegistryAccess
wg,a,f_291049_,,MAX_VARINT_SIZE,MAX_BYTES,field_45682,field,private static final int
wg,b,f_291170_,,DATA_BITS_MASK,DATA_BITS_MASK,field_45683,field,private static final int
wg,c,f_290364_,,CONTINUATION_BIT_MASK,MORE_BITS_MASK,field_45684,field,private static final int
wg,d,f_291216_,,DATA_BITS_PER_BYTE,DATA_BITS_PER_BYTE,field_45685,field,private static final int
wh,a,f_290807_,,MAX_VARLONG_SIZE,MAX_BYTES,field_45686,field,private static final int
wh,b,f_291895_,,DATA_BITS_MASK,DATA_BITS_MASK,field_45687,field,private static final int
wh,c,f_290740_,,CONTINUATION_BIT_MASK,MORE_BITS_MASK,field_45688,field,private static final int
wh,d,f_291045_,,DATA_BITS_PER_BYTE,DATA_BITS_PER_BYTE,field_45689,field,private static final int
vt,a,f_130528_,,LOGGER,LOGGER,field_11715,field,private static final org.slf4j.Logger
vt,b,f_314348_,,protocolInfo,state,field_48536,field,private final ProtocolInfo<T>
xl$a,d,f_240903_,,validator,signatureVerifier,field_39822,field,private final SignatureValidator
xl$a,e,f_291578_,,expired,expirationChecker,field_45958,field,private final BooleanSupplier
xl$a,f,f_244265_,,lastMessage,lastVerifiedMessage,field_40697,field,private PlayerChatMessage
xl$a,g,f_243954_,,isChainValid,lastMessageVerified,field_39821,field,private boolean
xn,a,f_131228_,,plainText,string,field_26626,field,private final String
xn,b,f_131229_,,charStyles,styles,field_26627,field,private final List<Style>
xn,c,f_131230_,,reverseCharModifier,reverser,field_26628,field,private final it.unimi.dsi.fastutil.ints.Int2IntFunction
xe$b,a,f_243697_,,message,message,comp_1082,field,private final PlayerChatMessage
xh,a,f_244150_,,arguments,arguments,comp_974,field,private final List<SignableCommand$Argument<S>>
wr,a,f_303288_,,CODEC,CODEC,field_46597,field,public static final com.mojang.serialization.Codec<Component>
wr,b,f_315335_,,STREAM_CODEC,REGISTRY_PACKET_CODEC,field_48540,field,"public static final StreamCodec<RegistryFriendlyByteBuf, Component>"
wr,c,f_315970_,,OPTIONAL_STREAM_CODEC,OPTIONAL_PACKET_CODEC,field_48985,field,"public static final StreamCodec<RegistryFriendlyByteBuf, Optional<Component>>"
wr,d,f_316335_,,TRUSTED_STREAM_CODEC,UNLIMITED_REGISTRY_PACKET_CODEC,field_49666,field,"public static final StreamCodec<RegistryFriendlyByteBuf, Component>"
wr,e,f_316844_,,TRUSTED_OPTIONAL_STREAM_CODEC,OPTIONAL_UNLIMITED_REGISTRY_PACKET_CODEC,field_49667,field,"public static final StreamCodec<RegistryFriendlyByteBuf, Optional<Component>>"
wr,f,f_314039_,,TRUSTED_CONTEXT_FREE_STREAM_CODEC,PACKET_CODEC,field_49668,field,"public static final StreamCodec<io.netty.buffer.ByteBuf, Component>"
wr,g,f_303675_,,FLAT_CODEC,STRINGIFIED_CODEC,field_46598,field,public static final com.mojang.serialization.Codec<Component>
wo,a,f_237098_,,EMPTY,EMPTY,field_39003,field,public static final Component
wo,b,f_130653_,,OPTION_ON,ON,field_24332,field,public static final Component
wo,c,f_130654_,,OPTION_OFF,OFF,field_24333,field,public static final Component
wo,d,f_130655_,,GUI_DONE,DONE,field_24334,field,public static final Component
wo,e,f_130656_,,GUI_CANCEL,CANCEL,field_24335,field,public static final Component
wo,f,f_130657_,,GUI_YES,YES,field_24336,field,public static final Component
wo,g,f_130658_,,GUI_NO,NO,field_24337,field,public static final Component
wo,h,f_286989_,,GUI_OK,OK,field_44914,field,public static final Component
wo,i,f_130659_,,GUI_PROCEED,PROCEED,field_24338,field,public static final Component
wo,j,f_263736_,,GUI_CONTINUE,CONTINUE,field_41873,field,public static final Component
wo,k,f_130660_,,GUI_BACK,BACK,field_24339,field,public static final Component
wo,l,f_275759_,,GUI_TO_TITLE,TO_TITLE,field_43109,field,public static final Component
wo,m,f_238584_,,GUI_ACKNOWLEDGE,ACKNOWLEDGE,field_39742,field,public static final Component
wo,n,f_289829_,,GUI_OPEN_IN_BROWSER,OPEN_LINK,field_44968,field,public static final Component
wo,o,f_289837_,,GUI_COPY_LINK_TO_CLIPBOARD,COPY_LINK_TO_CLIPBOARD,field_44969,field,public static final Component
wo,p,f_290546_,,GUI_DISCONNECT,DISCONNECT,field_45692,field,public static final Component
wo,q,f_317038_,,TRANSFER_CONNECT_FAILED,CONNECT_FAILED_TRANSFER,field_48539,field,public static final Component
wo,r,f_130661_,,CONNECT_FAILED,CONNECT_FAILED,field_26625,field,public static final Component
wo,s,f_178388_,,NEW_LINE,LINE_BREAK,field_33849,field,public static final Component
wo,t,f_178389_,,NARRATION_SEPARATOR,SENTENCE_SEPARATOR,field_33850,field,public static final Component
wo,u,f_238772_,,ELLIPSIS,ELLIPSIS,field_39678,field,public static final Component
wo,v,f_263701_,,SPACE,SPACE,field_41874,field,public static final Component
wl$a,b,f_240859_,,chatType,type,comp_919,field,private final Holder<ChatType>
wl$a,c,f_240886_,,name,name,comp_920,field,private final Component
wl$a,d,f_240896_,,targetName,targetName,comp_921,field,private final Optional<Component>
wl$a,a,f_316893_,,STREAM_CODEC,CODEC,field_48776,field,"public static final StreamCodec<RegistryFriendlyByteBuf, ChatType$Bound>"
xl,a,f_291573_,,LOGGER,LOGGER,field_45957,field,org.slf4j.Logger
xl,b,f_244130_,,ACCEPT_UNSIGNED,NO_SIGNATURE,field_40695,field,SignedMessageValidator
xl,c,f_243754_,,REJECT_ALL,UNVERIFIED,field_40696,field,SignedMessageValidator
wm,c,f_238741_,,translationKey,translationKey,comp_788,field,private final String
wm,d,f_238656_,,parameters,parameters,comp_789,field,private final List<ChatTypeDecoration$Parameter>
wm,e,f_238694_,,style,style,comp_790,field,private final Style
wm,a,f_238580_,,CODEC,CODEC,field_39219,field,public static final com.mojang.serialization.Codec<ChatTypeDecoration>
wm,b,f_336788_,,STREAM_CODEC,PACKET_CODEC,field_51971,field,"public static final StreamCodec<RegistryFriendlyByteBuf, ChatTypeDecoration>"
wr$a,a,f_303286_,,codecs,codecs,field_46599,field,private final List<com.mojang.serialization.MapCodec<? extends T>>
wr$a,b,f_303269_,,encoderGetter,codecGetter,field_46600,field,"private final Function<T, com.mojang.serialization.MapEncoder<? extends T>>"
xp,a,f_237302_,,component,messageText,field_39084,field,private final Component
wv$a,a,f_130831_,,SHOW_TEXT,SHOW_TEXT,field_24342,field,public static final HoverEvent$Action<Component>
wv$a,b,f_130832_,,SHOW_ITEM,SHOW_ITEM,field_24343,field,public static final HoverEvent$Action<HoverEvent$ItemStackInfo>
wv$a,c,f_130833_,,SHOW_ENTITY,SHOW_ENTITY,field_24344,field,public static final HoverEvent$Action<HoverEvent$EntityTooltipInfo>
wv$a,d,f_303568_,,UNSAFE_CODEC,UNVALIDATED_CODEC,field_46603,field,public static final com.mojang.serialization.Codec<HoverEvent$Action<?>>
wv$a,e,f_302584_,,CODEC,CODEC,field_46604,field,public static final com.mojang.serialization.Codec<HoverEvent$Action<?>>
wv$a,f,f_130835_,,name,name,field_24346,field,private final String
wv$a,g,f_130836_,,allowFromServer,parsable,field_24347,field,private final boolean
wv$a,h,f_302304_,,codec,codec,field_46605,field,final com.mojang.serialization.MapCodec<HoverEvent$TypedHoverEvent<T>>
wv$a,i,f_303126_,,legacyCodec,legacyCodec,field_46606,field,final com.mojang.serialization.MapCodec<HoverEvent$TypedHoverEvent<T>>
wn,a,f_303138_,,CODEC,CODEC,field_46594,field,public static final com.mojang.serialization.Codec<ClickEvent>
wn,b,f_130617_,,action,action,field_11741,field,private final ClickEvent$Action
wn,c,f_130618_,,value,value,field_11740,field,private final String
xb,c,f_240884_,,bytes,data,comp_925,field,private final byte[]
xb,a,f_252463_,,CODEC,CODEC,field_40844,field,public static final com.mojang.serialization.Codec<MessageSignature>
xb,b,f_244417_,,BYTES,SIZE,field_40683,field,public static final int
wp$a,a,f_130685_,,GSON,GSON,field_11754,field,private static final com.google.gson.Gson
wt$a,a,PASS_THROUGH,,PASS_THROUGH,PASS_THROUGH,field_39947,enum,
wt$a,b,FULLY_FILTERED,,FULLY_FILTERED,FULLY_FILTERED,field_39948,enum,
wt$a,c,PARTIALLY_FILTERED,,PARTIALLY_FILTERED,PARTIALLY_FILTERED,field_39949,enum,
wt$a,d,f_252490_,,serializedName,id,field_40841,field,private final String
wt$a,e,f_252467_,,codec,codecSupplier,field_40842,field,private final Supplier<com.mojang.serialization.MapCodec<FilterMask>>
wv$e,c,f_303739_,,action,action,comp_1985,field,final HoverEvent$Action<T>
wv$e,d,f_302951_,,value,value,comp_1986,field,final T
wv$e,a,f_303383_,,CODEC,CODEC,field_46610,field,public static final com.mojang.serialization.MapCodec<HoverEvent$TypedHoverEvent<?>>
wv$e,b,f_302885_,,LEGACY_CODEC,LEGACY_CODEC,field_46611,field,public static final com.mojang.serialization.MapCodec<HoverEvent$TypedHoverEvent<?>>
wz,a,f_243846_,,signature,signature,comp_1075,field,private final MessageSignature
wz,b,f_243942_,,pending,pending,comp_1076,field,private final boolean
wk,a,f_236947_,,PLAIN,NOOP,field_39384,field,ChatDecorator
xh$a,a,f_243965_,,node,node,comp_975,field,"private final com.mojang.brigadier.tree.ArgumentCommandNode<S, ?>"
xh$a,b,f_244218_,,value,value,comp_1089,field,private final String
wy,a,f_244465_,,lastSeenCount,size,field_40680,field,private final int
wy,b,f_243950_,,trackedMessages,messages,field_40681,field,private final it.unimi.dsi.fastutil.objects.ObjectList<LastSeenTrackedEntry>
wy,c,f_244339_,,lastPendingMessage,lastSignature,field_40682,field,private MessageSignature
wr$b,a,f_303015_,,typeFieldName,dispatchingKey,field_46914,field,private final String
wr$b,b,f_303318_,,typed,withKeyCodec,field_46915,field,private final com.mojang.serialization.MapCodec<T>
wr$b,c,f_303354_,,fuzzy,withoutKeyCodec,field_46916,field,private final com.mojang.serialization.MapCodec<T>
xm,a,f_131099_,,EMPTY,EMPTY,field_24360,field,public static final Style
xm,b,f_131100_,,DEFAULT_FONT,DEFAULT_FONT_ID,field_24359,field,public static final ResourceLocation
xm,c,f_131101_,,color,color,field_11855,field,final TextColor
xm,d,f_371379_,,shadowColor,shadowColor,field_55191,field,final Integer
xm,e,f_131102_,,bold,bold,field_11856,field,final Boolean
xm,f,f_131103_,,italic,italic,field_11852,field,final Boolean
xm,g,f_131104_,,underlined,underlined,field_11851,field,final Boolean
xm,h,f_131105_,,strikethrough,strikethrough,field_11857,field,final Boolean
xm,i,f_131106_,,obfuscated,obfuscated,field_11861,field,final Boolean
