owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type
a,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljava/lang/String;CI)V,private
a,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljava/lang/String;CZ)V,private
a,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(Ljava/lang/String;CZI)V,private
a,c(String arg0),func_175745_c(String arg0),,,,,method,c(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,b(),func_175746_b(),,,,,method,b(),()I,int
a,c(),func_96301_b(),isFormat(),,,,method,c(),()Z,boolean
a,d(),func_96302_c(),,,,,method,d(),()Z,boolean
a,e(),func_96297_d(),,,,,method,e(),()Ljava/lang/String;,String
a,a(String arg0),func_110646_a(String arg0),,,,,method,a(String arg0),(Ljava/lang/String;)Ljava/lang/String;,String
a,b(String arg0),func_96300_b(String arg0),,,,,method,b(String arg0),(Ljava/lang/String;)La;,EnumChatFormat
a,a(int arg0),func_175744_a(int arg0),,,,,method,a(int arg0),(I)La;,EnumChatFormat
a,"a(boolean arg0, boolean arg1)","func_96296_a(boolean arg0, boolean arg1)",,,,,method,"a(boolean arg0, boolean arg1)",(ZZ)Ljava/util/Collection;,Collection<String>
aa,<init>,,,,,,constructor,(),()V,public
aa,c(),func_71517_b(),getCommand(),,,,method,c(),()Ljava/lang/String;,String
aa,a(),func_82362_a(),,,,,method,a(),()I,int
aa,c(m arg0),func_71518_a(ICommandSender arg0),getUsage(ICommandListener arg0),,,,method,c(m arg0),(Lm;)Ljava/lang/String;,String
aa,"a(m arg0, String[] arg1)","func_71515_b(ICommandSender arg0, String[] arg1)","execute(ICommandListener arg0, String[] arg1)",,,,method,"a(m arg0, String[] arg1)",(Lm;[Ljava/lang/String;)V,void
aa,"a(m arg0, String[] arg1, cj arg2)","func_180525_a(ICommandSender arg0, String[] arg1, BlockPos arg2)","tabComplete(ICommandListener arg0, String[] arg1, BlockPosition arg2)",,,,method,"a(m arg0, String[] arg1, cj arg2)",(Lm;[Ljava/lang/String;Lcj;)Ljava/util/List;,List<String>
aaa,<init>,,,,,,constructor,(arg0),(Lahs;)V,public
aaa,a(int arg0),func_77647_b(int arg0),filterData(int arg0),,,,method,a(int arg0),(I)I,int
aaa,e_(zx arg0),func_77667_c(ItemStack arg0),,,,,method,e_(zx arg0),(Lzx;)Ljava/lang/String;,String
aaa,"a(zx arg0, int arg1)","func_82790_a(ItemStack arg0, int arg1)",,,,,method,"a(zx arg0, int arg1)",(Lzx;I)I,int
aab,<init>,,,,,,constructor,(),()V,protected
aab,"a(zx arg0, adm arg1)","func_77873_a(ItemStack arg0, World arg1)","getSavedMap(ItemStack arg0, World arg1)",,,,method,"a(zx arg0, adm arg1)",(Lzx;Ladm;)Latg;,WorldMap
aab,"a(adm arg0, pk arg1, atg arg2)","func_77872_a(World arg0, Entity arg1, MapData arg2)",,,,,method,"a(adm arg0, pk arg1, atg arg2)",(Ladm;Lpk;Latg;)V,void
aab,"a(zx arg0, adm arg1, pk arg2, int arg3, boolean arg4)","func_77663_a(ItemStack arg0, World arg1, Entity arg2, int arg3, boolean arg4)",,,,,method,"a(zx arg0, adm arg1, pk arg2, int arg3, boolean arg4)",(Lzx;Ladm;Lpk;IZ)V,void
aab,"c(zx arg0, adm arg1, wn arg2)","func_150911_c(ItemStack arg0, World arg1, EntityPlayer arg2)",,,,,method,"c(zx arg0, adm arg1, wn arg2)",(Lzx;Ladm;Lwn;)Lff;,Packet
aab,"d(zx arg0, adm arg1, wn arg2)","func_77622_d(ItemStack arg0, World arg1, EntityPlayer arg2)",,,,,method,"d(zx arg0, adm arg1, wn arg2)",(Lzx;Ladm;Lwn;)V,void
aab,"a(int arg0, adm arg1)","func_150912_a(int arg0, World arg1)",,,,,method,"a(int arg0, adm arg1)",(ILadm;)Latg;,WorldMap
aab,"a(zx arg0, wn arg1, List<String> arg2, boolean arg3)","func_77624_a(ItemStack arg0, EntityPlayer arg1, List<String> arg2, boolean arg3)",,,,,method,"a(zx arg0, wn arg1, List<String> arg2, boolean arg3)",(Lzx;Lwn;Ljava/util/List;Z)V,void
aac,<init>,,,,,,constructor,(),()V,public
aac,"b(zx arg0, adm arg1, wn arg2)","func_77654_b(ItemStack arg0, World arg1, EntityPlayer arg2)",,,,,method,"b(zx arg0, adm arg1, wn arg2)",(Lzx;Ladm;Lwn;)Lzx;,ItemStack
aac,d(zx arg0),func_77626_a(ItemStack arg0),,,,,method,d(zx arg0),(Lzx;)I,int
aac,e(zx arg0),func_77661_b(ItemStack arg0),,,,,method,e(zx arg0),(Lzx;)Laba;,EnumAnimation
aac,"a(zx arg0, adm arg1, wn arg2)","func_77659_a(ItemStack arg0, World arg1, EntityPlayer arg2)",,,,,method,"a(zx arg0, adm arg1, wn arg2)",(Lzx;Ladm;Lwn;)Lzx;,ItemStack
aad$1,<init>,,,,,,constructor,(),()V,
aad$1,"b(ck arg0, zx arg1)","func_82487_b(IBlockSource arg0, ItemStack arg1)",,,,,method,"b(ck arg0, zx arg1)",(Lck;Lzx;)Lzx;,ItemStack
aad$1,a(ck arg0),func_82485_a(IBlockSource arg0),,,,,method,a(ck arg0),(Lck;)V,void
aad,<init>,,,,,,constructor,(arg0),(Lva$a;)V,public
aad,"a(zx arg0, wn arg1, adm arg2, cj arg3, cq arg4, float arg5, float arg6, float arg7)","func_180614_a(ItemStack arg0, EntityPlayer arg1, World arg2, BlockPos arg3, EnumFacing arg4, float arg5, float arg6, float arg7)","interactWith(ItemStack arg0, EntityHuman arg1, World arg2, BlockPosition arg3, EnumDirection arg4, float arg5, float arg6, float arg7)",,,,method,"a(zx arg0, wn arg1, adm arg2, cj arg3, cq arg4, float arg5, float arg6, float arg7)",(Lzx;Lwn;Ladm;Lcj;Lcq;FFF)Z,boolean
aae$1,<init>,,,,,,constructor,(arg0),([Ljava/lang/String;)V,
aae$1,a(zx arg0),apply(ItemStack arg0),,,,,method,a(zx arg0),(Lzx;)Ljava/lang/String;,String
aae,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Lafh;Lafh;Lcom/google/common/base/Function;)V,public
aae,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Lafh;Lafh;[Ljava/lang/String;)V,public
aae,a(int arg0),func_77647_b(int arg0),filterData(int arg0),,,,method,a(int arg0),(I)I,int
aae,e_(zx arg0),func_77667_c(ItemStack arg0),,,,,method,e_(zx arg0),(Lzx;)Ljava/lang/String;,String
aaf,<init>,,,,,,constructor,(),()V,public
