owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type,side,desc
a,A,field_96303_A,fancyStyling,,,,field,,2,
a,B,field_96304_B,controlString,,,,field,,2,The control string (section sign + formatting code) that can be inserted into client-side text to display subsequent text in this format.
a,C,field_175747_C,colorIndex,,,,field,,2,The numerical index that represents this color
a,D,$VALUES,,,,,field,,,
a,a,BLACK,,,,,field,,,
a,b,DARK_BLUE,,,,,field,,,
a,c,DARK_GREEN,,,,,field,,,
a,d,DARK_AQUA,,,,,field,,,
a,e,DARK_RED,,,,,field,,,
a,f,DARK_PURPLE,,,,,field,,,
a,g,GOLD,,,,,field,,,
a,h,GRAY,,,,,field,,,
a,i,DARK_GRAY,,,,,field,,,
a,j,BLUE,,,,,field,,,
a,k,GREEN,,,,,field,,,
a,l,AQUA,,,,,field,,,
a,m,RED,,,,,field,,,
a,n,LIGHT_PURPLE,,,,,field,,,
a,o,YELLOW,,,,,field,,,
a,p,WHITE,,,,,field,,,
a,q,OBFUSCATED,,,,,field,,,
a,r,BOLD,,,,,field,,,
a,s,STRIKETHROUGH,,,,,field,,,
a,t,UNDERLINE,,,,,field,,,
a,u,ITALIC,,,,,field,,,
a,v,RESET,,,,,field,,,
a,w,field_96331_x,nameMapping,,,,field,,2,"Maps a name (e.g., 'underline') to its corresponding enum value (e.g., UNDERLINE)."
a,x,field_96330_y,formattingCodePattern,,,,field,,2,"Matches formatting codes that indicate that the client should treat the following text as bold, recolored, obfuscated, etc."
a,y,field_175748_y,name,,,,field,,2,The name of this color/formatting
a,z,field_96329_z,formattingCode,,,,field,,2,The formatting code that produces this format.
aaa,b,field_150940_b,leaves,,,,field,,2,
aad,a,field_96602_b,dispenserMinecartBehavior,,,,field,,2,
aad,b,field_77841_a,minecartType,,,,field,,2,
aad$1,b,field_96465_b,behaviourDefaultDispenseItem,,,,field,,2,
aae,b,field_179227_b,theBlock,,,,field,,2,
aae,c,field_179228_c,nameFunction,,,,field,,2,
aae$1,a,field_179542_a,,,,,field,,,
aag,c,field_150915_c,EFFECTIVE_ON,,,,field,,2,
aai,a,field_77836_a,effectCache,,,,field,,2,Contains a map from integers to the list of potion effects that potions with that damage value confer (to prevent recalculating it).
aai,b,field_77835_b,SUB_ITEMS_CACHE,,,,field,,2,
aaj,a,COMMON,,,,,field,,,
aaj,b,UNCOMMON,,,,,field,,,
aaj,c,RARE,,,,,field,,,
aaj,d,EPIC,,,,,field,,,
aaj,e,field_77937_e,rarityColor,,,,field,,2,A decimal representation of the hex color codes of a the color assigned to this rarity type. (13 becomes d as in \247d which is light purple)
aaj,f,field_77934_f,rarityName,,,,field,,2,Rarity name.
aaj,g,$VALUES,,,,,field,,,
aak,a,field_150929_a,recordName,,,,field,,2,The name of the record.
aak,b,field_150928_b,RECORDS,,,,field,,2,
aan,b,field_150908_b,crops,,,,field,,2,
