owner_obf,member_obf,signature,kind,param_index,namespace,name
a,<init>,"(arg0, arg1, arg2)",constructor,0,混淆的,arg0
a,<init>,"(arg0, arg1, arg2)",constructor,1,混淆的,arg1
a,<init>,"(arg0, arg1, arg2)",constructor,2,混淆的,arg2
a,<init>,"(arg0, arg1, arg2)",constructor,0,混淆的,arg0
a,<init>,"(arg0, arg1, arg2)",constructor,1,混淆的,arg1
a,<init>,"(arg0, arg1, arg2)",constructor,2,混淆的,arg2
a,<init>,"(arg0, arg1, arg2, arg3)",constructor,0,混淆的,arg0
a,<init>,"(arg0, arg1, arg2, arg3)",constructor,1,混淆的,arg1
a,<init>,"(arg0, arg1, arg2, arg3)",constructor,2,混淆的,arg2
a,<init>,"(arg0, arg1, arg2, arg3)",constructor,3,混淆的,arg3
a,c,c(String arg0),method,0,混淆的,arg0
a,c,c(String arg0),method,0,Searge,arg0
a,a,a(String arg0),method,0,混淆的,arg0
a,a,a(String arg0),method,0,Searge,arg0
a,b,b(String arg0),method,0,混淆的,arg0
a,b,b(String arg0),method,0,Searge,arg0
a,a,a(int arg0),method,0,混淆的,arg0
a,a,a(int arg0),method,0,Searge,arg0
a,a,"a(boolean arg0, boolean arg1)",method,0,混淆的,arg0
a,a,"a(boolean arg0, boolean arg1)",method,1,混淆的,arg1
a,a,"a(boolean arg0, boolean arg1)",method,0,Searge,arg0
a,a,"a(boolean arg0, boolean arg1)",method,1,Searge,arg1
aa,b,b(m arg0),method,0,混淆的,arg0
aa,b,b(m arg0),method,0,Searge,arg0
aa,b,b(m arg0),method,0,Spigot,arg0
aa,a,"a(MinecraftServer arg0, m arg1, String[] arg2)",method,0,混淆的,arg0
aa,a,"a(MinecraftServer arg0, m arg1, String[] arg2)",method,1,混淆的,arg1
aa,a,"a(MinecraftServer arg0, m arg1, String[] arg2)",method,2,混淆的,arg2
aa,a,"a(MinecraftServer arg0, m arg1, String[] arg2)",method,0,Searge,arg0
aa,a,"a(MinecraftServer arg0, m arg1, String[] arg2)",method,1,Searge,arg1
